i_episode 418	reward_accu: 288 	action_length: 3374
i_episode 419	reward_accu: 288 	action_length: 3790
i_episode 420	reward_accu: 288 	action_length: 3319
i_episode 421	reward_accu: 288 	action_length: 3266
i_episode 422	reward_accu: 288 	action_length: 3410
i_episode 423	reward_accu: 288 	action_length: 3283
i_episode 424	reward_accu: 288 	action_length: 3468
i_episode 425	reward_accu: 288 	action_length: 3287
i_episode 426	reward_accu: 288 	action_length: 3386
i_episode 427	reward_accu: 288 	action_length: 5196
i_episode 428	reward_accu: 288 	action_length: 3950
i_episode 429	reward_accu: 288 	action_length: 3352
i_episode 430	reward_accu: 288 	action_length: 3320
i_episode 431	reward_accu: 288 	action_length: 3440
i_episode 432	reward_accu: 175 	action_length: 2322
i_episode 433	reward_accu: 288 	action_length: 3303
i_episode 434	reward_accu: 288 	action_length: 3253
i_episode 435	reward_accu: 288 	action_length: 3318
i_episode 436	reward_accu: 288 	action_length: 3353
i_episode 437	reward_accu: 288 	action_length: 3284
i_episode 438	reward_accu: 288 	action_length: 3638
i_episode 439	reward_accu: 288 	action_length: 3423
i_episode 440	reward_accu: 288 	action_length: 3291
i_episode 441	reward_accu: 288 	action_length: 3240
i_episode 442	reward_accu: 288 	action_length: 3376
i_episode 443	reward_accu: 288 	action_length: 3208
i_episode 444	reward_accu: 288 	action_length: 3263
i_episode 445	reward_accu: 288 	action_length: 3352
i_episode 446	reward_accu: 288 	action_length: 3452
i_episode 447	reward_accu: 288 	action_length: 3330
i_episode 448	reward_accu: 288 	action_length: 3378
i_episode 449	reward_accu: 288 	action_length: 3655
i_episode 450	reward_accu: 288 	action_length: 3473
i_episode 451	reward_accu: 288 	action_length: 3511
i_episode 452	reward_accu: 288 	action_length: 3453
i_episode 453	reward_accu: 288 	action_length: 3446
i_episode 454	reward_accu: 288 	action_length: 3454
i_episode 455	reward_accu: 288 	action_length: 3316
i_episode 456	reward_accu: 288 	action_length: 3360
i_episode 457	reward_accu: 288 	action_length: 3376
i_episode 458	reward_accu: 288 	action_length: 3334
i_episode 459	reward_accu: 288 	action_length: 3408
i_episode 460	reward_accu: 288 	action_length: 3275
i_episode 461	reward_accu: 288 	action_length: 3350
i_episode 462	reward_accu: 288 	action_length: 3425
i_episode 463	reward_accu: 288 	action_length: 3404
i_episode 464	reward_accu: 265 	action_length: 3054
i_episode 465	reward_accu: 288 	action_length: 3358
i_episode 466	reward_accu: 288 	action_length: 3541
i_episode 467	reward_accu: 288 	action_length: 3432
i_episode 468	reward_accu: 288 	action_length: 3473
i_episode 469	reward_accu: 288 	action_length: 3360
i_episode 470	reward_accu: 288 	action_length: 3337
i_episode 471	reward_accu: 288 	action_length: 3721
i_episode 472	reward_accu: 288 	action_length: 3411
i_episode 473	reward_accu: 288 	action_length: 3434
i_episode 474	reward_accu: 288 	action_length: 3543
i_episode 475	reward_accu: 288 	action_length: 3293
i_episode 476	reward_accu: 288 	action_length: 3790
i_episode 477	reward_accu: 288 	action_length: 5803
i_episode 478	reward_accu: 220 	action_length: 2800
i_episode 479	reward_accu: 288 	action_length: 3246
i_episode 480	reward_accu: 184 	action_length: 2173
i_episode 481	reward_accu: 288 	action_length: 3501
i_episode 482	reward_accu: 288 	action_length: 3423
i_episode 483	reward_accu: 288 	action_length: 3564
i_episode 484	reward_accu: 288 	action_length: 3424
i_episode 485	reward_accu: 288 	action_length: 3530
i_episode 486	reward_accu: 288 	action_length: 3983
i_episode 487	reward_accu: 288 	action_length: 3803
i_episode 488	reward_accu: 288 	action_length: 3357
i_episode 489	reward_accu: 288 	action_length: 3465
i_episode 490	reward_accu: 288 	action_length: 3563
i_episode 491	reward_accu: 288 	action_length: 3376
i_episode 492	reward_accu: 288 	action_length: 3323
i_episode 493	reward_accu: 288 	action_length: 3570
i_episode 494	reward_accu: 288 	action_length: 3416
i_episode 495	reward_accu: 288 	action_length: 3650
i_episode 496	reward_accu: 288 	action_length: 3361
i_episode 497	reward_accu: 288 	action_length: 3294
i_episode 498	reward_accu: 288 	action_length: 3362
i_episode 499	reward_accu: 288 	action_length: 3301
